
10:41:00 PM [express] GET /@fs/home/runner/workspace/attached_assets/1inch_wallet.png 304 in 35ms
10:41:00 PM [express] GET /@fs/home/runner/workspace/attached_assets/myetherwallet.png 304 in 32ms
10:41:00 PM [express] GET /@fs/home/runner/workspace/attached_assets/phantom_wallet.png 304 in 38ms
10:41:00 PM [express] Session Debug - Admin: true
10:41:01 PM [express] GET /src/components/ui/label.tsx 304 in 39ms
10:41:01 PM [express] Session Debug - Admin: true
10:41:01 PM [express] GET /src/components/ui/navigation-menu.tsx 304 in 32ms
10:41:02 PM [express] Session Debug - Admin: true
10:41:02 PM [express] GET /images/logo.png 304 in 33ms
10:41:02 PM [express] Session Debug - Admin: true
10:41:02 PM [express] GET /background.png 304 in 32ms
10:41:51 PM [express] Session Debug - Admin: true
10:41:51 PM [express] GET / 200 in 2102ms
10:41:53 PM [express] Session Debug - Admin: true
10:41:53 PM [express] GET /@id/__x00__/index.html 304 in 30ms
10:41:53 PM [express] Session Debug - Admin: true
10:41:53 PM [express] Session Debug - Admin: true
10:41:53 PM [express] GET /@vite/client 200 in 118ms
10:41:53 PM [express] GET /src/main.tsx 200 in 117ms
10:41:54 PM [express] Session Debug - Admin: true
10:41:54 PM [express] Session Debug - Admin: true
10:41:54 PM [express] GET /src/index.css 200 in 34ms
10:41:54 PM [express] GET /@react-refresh 304 in 39ms
10:41:55 PM [express] Session Debug - Admin: true
10:41:55 PM [express] GET /@fs/home/runner/workspace/node_modules/vite/dist/client/env.mjs 304 in 34ms
10:41:55 PM [express] Session Debug - Admin: true
10:41:55 PM [express] GET /src/App.tsx 200 in 36ms
10:41:56 PM [express] Session Debug - Admin: true
10:41:56 PM [express] GET /favicon.ico 200 in 41ms
10:41:56 PM [express] Session Debug - Admin: true
10:41:56 PM [express] Session Debug - Admin: true
10:41:56 PM [express] Session Debug - Admin: true
10:41:56 PM [express] GET /src/lib/queryClient.ts 304 in 35ms
10:41:56 PM [express] GET /src/components/layout/layout.tsx 304 in 33ms
10:41:56 PM [express] GET /src/components/ui/toaster.tsx 304 in 31ms
10:41:57 PM [express] Session Debug - Admin: true
10:41:57 PM [express] Session Debug - Admin: true
10:41:57 PM [express] Session Debug - Admin: true
10:41:57 PM [express] GET /src/pages/home.tsx 304 in 30ms
10:41:57 PM [express] GET /src/pages/select-wallet.tsx 304 in 32ms
10:41:57 PM [express] GET /src/pages/web3.tsx 304 in 35ms
10:41:58 PM [express] Session Debug - Admin: true
10:41:58 PM [express] Session Debug - Admin: true
10:41:58 PM [express] GET /src/pages/sync-success.tsx 304 in 35ms
10:41:58 PM [express] GET /src/pages/privacy.tsx 304 in 34ms
10:41:58 PM [express] Session Debug - Admin: true
10:41:58 PM [express] GET /src/pages/about.tsx 304 in 50ms
10:41:58 PM [express] Session Debug - Admin: true
10:41:58 PM [express] Session Debug - Admin: true
10:41:58 PM [express] GET /src/pages/not-found.tsx 304 in 31ms
10:41:58 PM [express] GET /src/pages/contact.tsx 304 in 32ms
10:41:58 PM [express] Session Debug - Admin: true
10:41:58 PM [express] GET /src/pages/admin/login.tsx 304 in 33ms
